ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
0001.HK,2020-07-15,2020-05-29,[14],"[20, 28, 39, 48]",['2020-08-04'],"['2020-06-29', '2020-07-10', '2020-07-27', '2020-08-07']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.25, 0.25, 0.25, 0.25, 0.0]",32,26,2020-08-13,21,52,0.032019087188568635,52.29999923706055,F
0002.HK,2020-06-03,2020-04-22,"[5, 12, 21, 43]","[15, 21, 25, 30, 36, 47, 63]","['2020-06-10', '2020-06-19', '2020-07-06', '2020-08-05']","['2020-05-15', '2020-05-25', '2020-05-29', '2020-06-05', '2020-06-15', '2020-07-02', '2020-07-24']","[1.85, 1.0, 0.5, 0.25, 0.25, 0.0, 0.25, 0.25]","[2.0428571428571427, 0.8571428571428571, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857, 0.0, 0.14285714285714285, 0.0]",37,33,2020-08-13,49,77,0.024592146596212627,75.4000015258789,F
0003.HK,2020-03-18,2020-05-28,"[18, 28, 34, 40, 72, 90]","[21, 35, 41]","['2020-04-15', '2020-04-29', '2020-05-11', '2020-05-19', '2020-07-06', '2020-07-30']","['2020-06-29', '2020-07-20', '2020-07-28']","[1.7166666666666668, 1.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[2.1666666666666665, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",34,27,2020-08-13,100,53,0.005332704606633142,11.279999732971193,F
0004.HK,2020-04-29,2020-05-25,"[6, 12, 28, 38, 56, 65]","[4, 14, 25, 35, 43, 48]","['2020-05-11', '2020-05-19', '2020-06-10', '2020-06-24', '2020-07-22', '2020-08-04']","['2020-05-29', '2020-06-12', '2020-06-30', '2020-07-15', '2020-07-27', '2020-08-03']","[1.5666666666666669, 0.8333333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]","[1.5166666666666666, 1.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0]",31,36,2020-08-13,72,56,0.017157544369112102,14.300000190734865,F
0005.HK,2020-06-24,2020-04-22,"[7, 24]","[7, 16, 21, 36, 45, 53, 59, 65, 70]","['2020-07-07', '2020-07-30']","['2020-05-05', '2020-05-18', '2020-05-25', '2020-06-15', '2020-06-29', '2020-07-10', '2020-07-20', '2020-07-28', '2020-08-04']","[2.45, 1.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.0]","[1.4444444444444444, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.0]",33,35,2020-08-13,34,77,0.02716946867598638,35.400001525878906,F
0006.HK,2020-07-07,2020-04-22,"[6, 21]","[9, 25, 36, 46, 63, 72]","['2020-07-15', '2020-08-05']","['2020-05-07', '2020-05-29', '2020-06-15', '2020-06-30', '2020-07-24', '2020-08-06']","[2.4, 1.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[1.7999999999999998, 0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0]",28,31,2020-08-13,27,77,0.01974141453646345,43.79999923706055,F
0007.HK,2020-06-17,2020-06-12,"[5, 12, 28]",[21],"['2020-06-24', '2020-07-07', '2020-07-29']",['2020-07-15'],"[2.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",23,23,2020-08-13,39,42,0.0013247591060835534,0.6800000071525574,F
0008.HK,2020-07-22,2020-05-15,[12],"[5, 30, 48]",['2020-08-07'],"['2020-05-22', '2020-06-29', '2020-07-24']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[2.0666666666666664, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",29,20,2020-08-13,16,62,0.0039979818492616795,4.889999866485597,F
0009.HK,2020-05-14,2020-07-08,"[24, 30, 60]","[7, 15]","['2020-06-17', '2020-06-26', '2020-08-10']","['2020-07-17', '2020-07-29']","[2.6333333333333333, 1.0, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0]","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]",31,35,2020-08-13,63,26,0.0003094879871516507,0.06700000166893005,F
0010.HK,2020-05-19,2020-07-29,"[14, 35, 46, 51]",[7],"['2020-06-08', '2020-07-09', '2020-07-24', '2020-07-31']",['2020-08-07'],"[1.675, 1.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",32,32,2020-08-13,60,11,0.00858968083577442,18.84000015258789,F
