Date,Open,High,Low,Close,Adj Close,Volume,ATR,ATR_2
2018-12-31,18.950000762939453,19.309999465942383,18.700000762939453,18.899999618530273,17.975305557250977,36600,0.0,0.0
2019-01-02,18.700000762939453,19.299999237060547,18.600000381469727,18.969999313354492,18.041881561279297,98500,0.0,0.0
2019-01-03,18.989999771118164,19.459999084472656,18.780000686645508,18.989999771118164,18.060903549194336,55100,0.0,0.0
2019-01-04,19.260000228881836,19.6299991607666,18.780000686645508,19.0,18.07041358947754,107300,0.0,0.0
2019-01-07,19.010000228881836,19.489999771118164,18.860000610351562,19.010000228881836,18.079923629760742,92000,0.0,0.0
2019-01-08,19.0,19.6200008392334,18.989999771118164,19.229999542236328,18.28916358947754,199700,0.0,0.0
2019-01-09,19.280000686645508,19.520000457763672,18.729999542236328,19.15999984741211,18.22258758544922,161700,0.0,0.0
2019-01-10,19.059999465942383,19.389999389648438,18.809999465942383,19.0,18.07041358947754,75800,0.0,0.0
2019-01-11,18.920000076293945,19.34000015258789,18.84000015258789,19.0,18.07041358947754,38200,0.0,0.0
2019-01-14,18.889999389648438,19.190000534057617,18.389999389648438,18.889999389648438,17.965797424316406,199900,0.0,0.0
2019-01-15,18.969999313354492,19.299999237060547,18.739999771118164,19.100000381469727,18.1655216217041,68100,0.0,0.0
2019-01-16,19.1200008392334,19.18000030517578,18.790000915527344,18.799999237060547,17.880199432373047,42000,0.0,0.0
2019-01-17,18.770000457763672,18.989999771118164,18.5,18.68000030517578,17.766069412231445,37700,0.0,0.0
2019-01-18,18.719999313354492,19.170000076293945,18.649999618530273,18.84000015258789,17.918243408203125,39900,0.6235711233956474,0.04454079452826053
2019-01-22,18.75,19.06999969482422,18.059999465942383,18.280000686645508,17.38564109802246,38800,0.6511732023589465,0.043330886273620424
2019-01-23,18.329999923706055,18.829999923706055,18.260000228881836,18.459999084472656,17.556833267211914,32400,0.6453750946778946,0.040649973517008386
2019-01-24,18.440000534057617,18.56999969482422,18.1200008392334,18.360000610351562,17.46172523498535,22500,0.6314196490288178,0.03874322152644184
2019-01-25,18.34000015258789,18.760000228881836,18.299999237060547,18.469999313354492,17.566343307495117,37600,0.61917545922828,0.03685043354602013
2019-01-28,18.299999237060547,18.850000381469727,18.059999465942383,18.450000762939453,17.547325134277344,20600,0.631377277535356,0.03508981817180983
2019-01-29,18.530000686645508,18.549999237060547,18.280000686645508,18.3700008392334,17.471237182617188,29500,0.6055645113124762,0.03442717160402911
2019-01-30,18.469999313354492,18.719999313354492,17.989999771118164,18.690000534057617,17.77558135986328,27100,0.6144527278070371,0.03260296052478138
2019-01-31,18.700000762939453,19.209999084472656,18.600000381469727,19.100000381469727,18.1655216217041,36600,0.6141345831781723,0.030296902246501622
