Date,Open,High,Low,Close,Adj Close,Volume,ATR,ATR_2
2018-12-31,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-02,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-03,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-07,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-08,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-09,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-10,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-14,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-15,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-16,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-17,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-22,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-23,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-24,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-28,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-29,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-30,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-01-31,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-04,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-05,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-06,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-07,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-11,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-12,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-13,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-14,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-19,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-20,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-21,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-25,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-26,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-27,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-02-28,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-04,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-05,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-06,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-07,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-11,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-12,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-13,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-14,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-18,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-19,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-20,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-21,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-25,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-26,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-27,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-03-28,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-01,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-02,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-03,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-04,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-08,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-09,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-10,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-11,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-15,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-16,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-17,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-18,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
2019-04-22,127.0,127.0,127.0,127.0,126.85062408447266,0,0.0,0.0
